wc -l	Sample	seq count
16372	MCT.f.0407.S122.R1.001.fastq	4093
3684068	MCT.f.0408.S506.R1.001.fastq	921017
102056	MCT.f.0409.S201.R1.001.fastq	25514
1820196	MCT.f.0410.S70.R1.001.fastq	455049
251548	MCT.f.0411.S102.R1.001.fastq	62887
3012476	MCT.f.0412.S34.R1.001.fastq	753119
12788	MCT.f.0413.S367.R1.001.fastq	3197
2913932	MCT.f.0414.S426.R1.001.fastq	728483
1545912	MCT.f.0415.S280.R1.001.fastq	386478
1417956	MCT.f.0416.S454.R1.001.fastq	354489
2060828	MCT.f.0417.S250.R1.001.fastq	515207
125000	MCT.f.0418.S125.R1.001.fastq	31250
1471932	MCT.f.0419.S236.R1.001.fastq	367983
90024	MCT.f.0420.S105.R1.001.fastq	22506
3245544	MCT.f.0421.S431.R1.001.fastq	811386
666288	MCT.f.0422.S12.R1.001.fastq	166572
2837204	MCT.f.0423.S209.R1.001.fastq	709301
3465248	MCT.f.0424.S385.R1.001.fastq	866312
506800	MCT.f.0425.S204.R1.001.fastq	126700
2619188	MCT.f.0426.S312.R1.001.fastq	654797
2652204	MCT.f.0427.S18.R1.001.fastq	663051
4180232	MCT.f.0428.S303.R1.001.fastq	1045058
1997832	MCT.f.0429.S8.R1.001.fastq	499458
2928116	MCT.f.0430.S425.R1.001.fastq	732029
1708388	MCT.f.0431.S210.R1.001.fastq	427097
3580904	MCT.f.0432.S365.R1.001.fastq	895226
457360	MCT.f.0433.S233.R1.001.fastq	114340
2327724	MCT.f.0434.S477.R1.001.fastq	581931
345212	MCT.f.0435.S514.R1.001.fastq	86303
4180	MCT.f.0436.S144.R1.001.fastq	1045
3369620	MCT.f.0437.S306.R1.001.fastq	842405
5141204	MCT.f.0438.S298.R1.001.fastq	1285301
3286404	MCT.f.0439.S501.R1.001.fastq	821601
2498748	MCT.f.0440.S414.R1.001.fastq	624687
2485912	MCT.f.0441.S373.R1.001.fastq	621478
3315872	MCT.f.0442.S417.R1.001.fastq	828968
3684200	MCT.f.0443.S508.R1.001.fastq	921050
584896	MCT.f.0444.S217.R1.001.fastq	146224
4055976	MCT.f.0445.S326.R1.001.fastq	1013994
3988968	MCT.f.0446.S323.R1.001.fastq	997242
3891960	MCT.f.0447.S529.R1.001.fastq	972990
176932	MCT.f.0449.S229.R1.001.fastq	44233
2158964	MCT.f.0450.S222.R1.001.fastq	539741
8660	MCT.f.0451.S124.R1.001.fastq	2165
85660	MCT.f.0452.S348.R1.001.fastq	21415
2125292	MCT.f.0453.S456.R1.001.fastq	531323
1956	MCT.f.0454.S97.R1.001.fastq	489
1693652	MCT.f.0455.S460.R1.001.fastq	423413
4019752	MCT.f.0456.S319.R1.001.fastq	1004938
4274612	MCT.f.0457.S305.R1.001.fastq	1068653
3151004	MCT.f.0458.S53.R1.001.fastq	787751
2658324	MCT.f.0459.S4.R1.001.fastq	664581
912224	MCT.f.0460.S386.R1.001.fastq	228056
422572	MCT.f.0461.S520.R1.001.fastq	105643
1097988	MCT.f.0462.S422.R1.001.fastq	274497
1974508	MCT.f.0463.S216.R1.001.fastq	493627
5147732	MCT.f.0464.S59.R1.001.fastq	1286933
10528	MCT.f.0465.S459.R1.001.fastq	2632
2172816	MCT.f.0467.S119.R1.001.fastq	543204
5580	MCT.f.0468.S108.R1.001.fastq	1395
554032	MCT.f.0470.S483.R1.001.fastq	138508
3207676	MCT.f.0472.S89.R1.001.fastq	801919
1446512	MCT.f.0473.S472.R1.001.fastq	361628
808324	MCT.f.0475.S174.R1.001.fastq	202081
2987568	MCT.f.0476.S64.R1.001.fastq	746892
180024	MCT.f.0477.S178.R1.001.fastq	45006
2949144	MCT.f.0481.S415.R1.001.fastq	737286
3597948	MCT.f.0482.S435.R1.001.fastq	899487
2068256	MCT.f.0486.S251.R1.001.fastq	517064
225156	MCT.f.0488.S237.R1.001.fastq	56289
2423548	MCT.f.0489.S461.R1.001.fastq	605887
4433048	MCT.f.0492.S309.R1.001.fastq	1108262
979692	MCT.f.0494.S206.R1.001.fastq	244923
635908	MCT.f.0495.S202.R1.001.fastq	158977
966976	MCT.f.0511.S488.R1.001.fastq	241744
3585308	MCT.f.0512.S424.R1.001.fastq	896327
1022896	MCT.f.0513.S207.R1.001.fastq	255724
3951164	MCT.f.0514.S416.R1.001.fastq	987791
399656	MCT.f.0515.S436.R1.001.fastq	99914
702524	MCT.f.0516.S115.R1.001.fastq	175631
738976	MCT.f.0517.S259.R1.001.fastq	184744
3621660	MCT.f.0519.S428.R1.001.fastq	905415
3780684	MCT.f.0520.S362.R1.001.fastq	945171
1193104	MCT.f.0522.S142.R1.001.fastq	298276
85344	MCT.f.0523.S101.R1.001.fastq	21336
3881600	MCT.f.0524.S534.R1.001.fastq	970400
3307580	MCT.f.0525.S378.R1.001.fastq	826895
8244	MCT.f.0526.S159.R1.001.fastq	2061
317244	MCT.f.0527.S497.R1.001.fastq	79311
3763048	MCT.f.0528.S328.R1.001.fastq	940762
1317528	MCT.f.0529.S245.R1.001.fastq	329382
837636	MCT.f.0530.S127.R1.001.fastq	209409
358348	MCT.f.0531.S339.R1.001.fastq	89587
3549156	MCT.f.0532.S480.R1.001.fastq	887289
2156320	MCT.f.0533.S57.R1.001.fastq	539080
1837004	MCT.f.0534.S489.R1.001.fastq	459251
1929992	MCT.f.0535.S343.R1.001.fastq	482498
177144	MCT.f.0536.S146.R1.001.fastq	44286
96460	MCT.f.0537.S485.R1.001.fastq	24115
1346348	MCT.f.0538.S279.R1.001.fastq	336587
3079368	MCT.f.0539.S412.R1.001.fastq	769842
4081468	MCT.f.0540.S79.R1.001.fastq	1020367
2706936	MCT.f.0541.S407.R1.001.fastq	676734
382156	MCT.f.0542.S5.R1.001.fastq	95539
3201580	MCT.f.0543.S96.R1.001.fastq	800395
1317444	MCT.f.0544.S249.R1.001.fastq	329361
56748	MCT.f.0545.S135.R1.001.fastq	14187
285800	MCT.f.0546.S157.R1.001.fastq	71450
616016	MCT.f.0547.S481.R1.001.fastq	154004
49928	MCT.f.0548.S156.R1.001.fastq	12482
5552552	MCT.f.0549.S294.R1.001.fastq	1388138
41840	MCT.f.0550.S150.R1.001.fastq	10460
2357056	MCT.f.0551.S39.R1.001.fastq	589264
3450344	MCT.f.0552.S357.R1.001.fastq	862586
2136828	MCT.f.0553.S376.R1.001.fastq	534207
3536504	MCT.f.0554.S332.R1.001.fastq	884126
784200	MCT.f.0555.S281.R1.001.fastq	196050
4042292	MCT.f.0556.S358.R1.001.fastq	1010573
3932124	MCT.f.0557.S19.R1.001.fastq	983031
2465996	MCT.f.0558.S532.R1.001.fastq	616499
1659876	MCT.f.0559.S37.R1.001.fastq	414969
3011440	MCT.f.0560.S526.R1.001.fastq	752860
195516	MCT.f.0561.S120.R1.001.fastq	48879
101916	MCT.f.0562.S167.R1.001.fastq	25479
2418504	MCT.f.0564.S338.R1.001.fastq	604626
1947540	MCT.f.0565.S67.R1.001.fastq	486885
2788104	MCT.f.0566.S35.R1.001.fastq	697026
1863576	MCT.f.0567.S95.R1.001.fastq	465894
3720436	MCT.f.0568.S502.R1.001.fastq	930109
2967140	MCT.f.0570.S317.R1.001.fastq	741785
49056	MCT.f.0572.S393.R1.001.fastq	12264
1343028	MCT.f.0573.S347.R1.001.fastq	335757
1011148	MCT.f.0574.S173.R1.001.fastq	252787
1787848	MCT.f.0575.S335.R1.001.fastq	446962
436316	MCT.f.0577.S263.R1.001.fastq	109079
1838884	MCT.f.0578.S383.R1.001.fastq	459721
202776	MCT.f.0579.S181.R1.001.fastq	50694
1117604	MCT.f.0580.S152.R1.001.fastq	279401
1799388	MCT.f.0581.S340.R1.001.fastq	449847
1376812	MCT.f.0582.S215.R1.001.fastq	344203
1169080	MCT.f.0583.S205.R1.001.fastq	292270
174320	MCT.f.0585.S136.R1.001.fastq	43580
3204424	MCT.f.0586.S402.R1.001.fastq	801106
3669920	MCT.f.0587.S369.R1.001.fastq	917480
252152	MCT.f.0588.S450.R1.001.fastq	63038
4678352	MCT.f.0590.S289.R1.001.fastq	1169588
5118620	MCT.f.0592.S370.R1.001.fastq	1279655
3159844	MCT.f.0593.S445.R1.001.fastq	789961
82380	MCT.f.0594.S537.R1.001.fastq	20595
2946724	MCT.f.0595.S531.R1.001.fastq	736681
