	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs15	4.53897192855	4.66282051282	4.43053874964	4.20599320358	5.70979403111	4.94519409827	4.82315308454	4.90629370629	3.87386146192	4.54604236343	0.0	4.79328028294	5.36694139194	5.0612111293	4.70166870167	4.26968325792	5.29111024339	4.08644688645	5.51366691561	6.41465201465	5.48641025641	5.24087256028	5.48058608059	5.4	5.32276295133	4.94568764569	6.24691358025	4.87863247863	5.03736263736	4.37435897436	5.58632478632
MCTs16	3.97962630059	4.91264367816	4.20121399974	4.13765406453	5.09628792161	4.70493803378	4.10606577899	5.18829676071	4.84577114428	4.64492753623	4.79328028294	0.0	4.89244663383	4.52922474933	4.34847655537	3.69317106153	4.0842522901	3.69950738916	6.93315478183	4.84400656814	4.82793103448	5.54160233316	5.42159277504	4.96551724138	4.27820783486	3.82183908046	5.62707535121	4.27059386973	5.44170771757	5.26034482759	5.33180076628
MCTs18	4.48383547732	3.99404761905	4.70258159444	4.96385542169	4.89207650273	3.86492418196	4.02369165488	5.0762987013	4.40751599147	3.56444099379	5.36694139194	4.89244663383	0.0	4.37462006079	4.29894179894	4.45	3.37182741117	3.64682539683	5.74878640777	4.4503968254	5.58214285714	4.65938166311	6.16071428571	4.59325396825	4.74744897959	4.3382034632	4.79365079365	5.18452380952	3.98452380952	4.26964285714	3.76150793651
MCTs19	3.46258949279	4.2225177305	4.43083114192	5.47859523199	5.73764678526	4.43432782598	4.52517379398	5.25609284333	4.36657139833	4.1868640148	5.0612111293	4.52922474933	4.37462006079	0.0	4.79342564449	4.76057571965	3.17658494438	4.0896656535	7.01373683123	4.77136102668	5.42021276596	5.28130623478	6.12613981763	4.61672576832	4.62244897959	3.33526756931	5.536643026	4.99793144208	5.4524822695	5.08244680851	5.1938534279
MCTs20	4.33100127887	3.95701058201	3.53617501932	4.88468158348	3.93876311909	3.56613756614	3.99675205616	4.59567099567	4.09365869067	3.57315389924	4.70166870167	4.34847655537	4.29894179894	4.79342564449	0.0	3.70320572674	4.05887250557	3.74074074074	6.0452047054	5.54497354497	4.98523809524	3.63105109374	5.9417989418	4.1164021164	3.62055933485	4.09042809043	5.66490299824	4.50925925926	5.3037037037	4.76911375661	4.79576719577
MCTs21	4.14530248118	4.92156862745	3.49447014761	3.45230333097	4.2900032144	2.89937561617	4.47023878858	4.34973262032	4.02370500439	3.61636828645	4.26968325792	3.69317106153	4.45	4.76057571965	3.70320572674	0.0	3.8236488504	3.39570494865	6.36801827527	5.07507002801	5.10176470588	4.79326894937	4.94201680672	5.31454248366	4.00900360144	4.43386809269	5.39883805374	4.12173202614	5.26218487395	4.8125	4.92679738562
MCTs22	3.1440325258	3.83193739425	3.36637578661	4.36609381689	4.8465784583	3.42131979695	4.19711514299	4.82799569297	3.26499482284	3.40005885382	5.29111024339	4.0842522901	3.37182741117	3.17658494438	4.05887250557	3.8236488504	0.0	3.54346950286	6.5090927012	4.26702119088	4.63324873096	5.08119301967	5.92947788252	3.86985335589	3.39656065472	3.34579295493	5.20950053268	4.50824873096	4.93410684071	4.83020304569	4.16570783982
MCTs23	3.39757767246	3.97301587302	3.78098805065	4.09887167718	4.52641165756	3.25352487364	3.10435329247	3.76594516595	3.91542288557	3.42753623188	4.08644688645	3.69950738916	3.64682539683	4.0896656535	3.74074074074	3.39570494865	3.54346950286	0.0	5.93758668516	5.12698412698	4.81920634921	4.3030087657	5.49206349206	5.02182539683	4.45238095238	3.90764790765	5.22574955908	4.5	4.4126984127	4.20337301587	5.29206349206
MCTs24	6.05926471265	5.55097087379	5.8669139304	6.25546847585	4.97310202133	6.36828117373	5.68028453331	5.39052662548	4.97299908226	5.4966230477	5.51366691561	6.93315478183	5.74878640777	7.01373683123	6.0452047054	6.36801827527	6.5090927012	5.93758668516	0.0	8.37324703344	6.00349514563	4.66058059218	4.98890429958	6.16127292341	6.42341985338	6.30097087379	6.62735227137	6.54247572816	4.26352288488	4.46444174757	5.60733549083
MCTs25	5.17129316181	6.00396825397	5.89513108614	5.70548862115	6.53603955243	5.08468564334	5.20132013201	6.67763347763	5.83605780621	4.99792960663	6.41465201465	4.84400656814	4.4503968254	4.77136102668	5.54497354497	5.07507002801	4.26702119088	5.12698412698	8.37324703344	0.0	6.59111111111	6.56621653637	7.61507936508	5.43055555556	5.7380952381	5.08441558442	6.37389770723	6.26388888889	6.80634920635	6.44861111111	5.53968253968
