	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs13	35.8850363613	34.0121248931	39.9214266515	40.8742306379	37.3021388501	33.2085947307	38.6641452885	31.2519422985	31.8090511941	31.0944326635	33.8347763015	0.0	33.2768761473	34.2790303023	38.0228434766	45.7044010338	41.3958801635	30.5578556661	33.9228633153	35.0273074246	35.3603952944	39.7945229788	40.1288612068	34.2827880988	31.4817873647	34.9399414479	42.1244401569	37.4787425097	34.8955386675	33.7889684854	38.6213127825	46.1029307776	33.7484473453	41.5362838539
MCTs14	40.7792835049	42.4929045455	40.0942317126	49.6063346084	33.2646048	37.1753838174	41.9338266982	32.2976223825	32.4827127049	35.8616707277	40.5193182076	33.2768761473	0.0	39.091434807	41.4893853588	48.6115773613	45.2987286886	30.812896707	36.8206515074	39.1041469721	35.84137342	36.7777665219	40.0665999455	36.7693065168	38.7901648718	37.8792240592	44.0302814334	38.270779535	27.1706859182	36.3575731326	43.9947585449	41.4260015986	34.5042350055	45.9895990384
MCTs15	27.9787146976	29.2275765154	41.1090618263	39.4085491487	32.5982129695	30.3249259464	32.6666387062	34.6042013714	30.9914230248	31.7603480657	29.2089230908	34.2790303023	39.091434807	0.0	33.1188446497	38.8316693033	39.8470003519	31.2115975795	33.003057299	30.8482744673	29.3196632361	34.4898984302	34.864291719	28.1741813269	34.3583531457	30.2079608426	32.2457620042	40.601149796	37.242688462	30.5471768532	34.3111016917	42.8468360648	33.452100723	39.2751236636
MCTs16	32.0367840973	36.5089628984	40.5293633661	44.4586202987	38.6339455028	33.1429583636	36.699291658	40.320566334	33.2634727755	33.7442630083	39.8683377946	38.0228434766	41.4893853588	33.1188446497	0.0	42.0104811236	40.329145169	33.664452124	34.6559806825	34.3901905978	35.3207373685	39.7286633794	37.3973087989	34.4463830936	37.6634055784	33.1741189161	33.9789585813	42.6245119582	39.7120264162	32.928931672	38.7601676777	43.0308476203	36.890808596	41.3222662812
MCTs18	40.7900959002	38.7328480914	39.7528318931	36.0724545327	41.0163350936	42.1002830106	39.500150509	45.7672618357	44.55944521	43.7144411098	40.7443044852	45.7044010338	48.6115773613	38.8316693033	42.0104811236	0.0	42.8730053881	44.7390403151	42.3055453658	40.9407333904	45.0468735709	42.6815906083	41.4466349856	38.5687788042	46.3849477262	41.3880808943	42.8709140797	46.0632777366	45.7159128462	42.0383542178	41.4054234475	47.4146194917	39.4067643411	38.1372365379
MCTs19	39.4027665995	42.8791172982	35.9186102863	41.1284897891	41.0012361245	40.372372661	38.1916892457	42.1575162957	39.2871554974	35.5539562399	39.3159517922	41.3958801635	45.2987286886	39.8470003519	40.329145169	42.8730053881	0.0	43.4352436607	39.3433599175	40.623459514	43.0026414313	43.6707292883	39.3173697881	39.1683380579	39.2223758052	40.6090125412	40.5971501376	37.6768490429	37.8958226238	41.9928156545	40.9929591726	45.6009674123	38.7400452398	44.8365296281
MCTs20	32.7071294672	34.5601686667	37.0808909591	44.8002237655	35.9269672898	31.9818154352	38.0523047859	31.9422244305	26.7159426079	33.3812899046	37.1892767388	30.5578556661	30.812896707	31.2115975795	33.664452124	44.7390403151	43.4352436607	0.0	33.5699194786	32.8131608139	31.019187054	34.1510865275	34.7920431559	30.4945610945	34.6611079051	27.342020442	37.7086880717	41.2153966918	33.7964611094	25.4098432944	36.117211992	44.7331938188	30.2995645615	36.2957818054
MCTs21	33.8881784714	34.5799317255	35.9824704304	37.8708558136	38.8896163789	31.2175506164	33.7405278118	35.2842485191	33.3045894557	34.3202466374	34.972492889	33.9228633153	36.8206515074	33.003057299	34.6559806825	42.3055453658	39.3433599175	33.5699194786	0.0	35.1248280637	37.1906295638	38.3619419656	33.9864049913	34.0614748441	38.0682963613	37.4013362097	37.4114935048	35.0283059327	38.1957358533	35.1419628187	40.8950639284	46.2834228974	36.2606393667	40.3271342247
MCTs22	27.692864343	31.7164630238	39.4818472037	41.4667248478	35.9945075193	30.7620881334	33.0777211835	36.0333184618	32.2521029024	34.4598120576	35.0550818965	35.0273074246	39.1041469721	30.8482744673	34.3901905978	40.9407333904	40.623459514	32.8131608139	35.1248280637	0.0	35.2580859542	38.4794484273	35.4485216092	30.0914842161	31.5188132535	31.8055459249	33.9561798221	37.8215940541	38.2952152109	32.0609924795	33.924653294	42.9504596865	34.7912587435	39.5983893386
MCTs23	35.1046912874	36.0787808925	44.5092969416	44.8623131254	35.4102103034	32.147548568	41.0030734433	34.7618049088	26.6620291733	31.4621245708	36.4744274694	35.3603952944	35.84137342	29.3196632361	35.3207373685	45.0468735709	43.0026414313	31.019187054	37.1906295638	35.2580859542	0.0	32.7971623602	39.5516056623	33.3357063009	33.6901352851	32.7192644859	38.8669326845	40.4059945509	36.63787844	34.5819429551	39.9901936218	44.6230080878	37.9005574174	41.567859838
MCTs24	35.9578224997	38.6937370591	41.6774636954	43.4281997109	35.2811564737	37.5088763942	38.9440392155	40.6761548555	34.104847717	35.0950277987	37.7992912967	39.7945229788	36.7777665219	34.4898984302	39.7286633794	42.6815906083	43.6707292883	34.1510865275	38.3619419656	38.4794484273	32.7971623602	0.0	38.7590590215	32.0958656133	41.9755161465	31.9838829172	39.3544008306	41.4606065575	35.5197969252	33.2793217942	43.465271524	37.1333160773	35.5258598828	35.7457881261
MCTs25	33.3206196125	35.10304126	34.7370817686	40.3588619429	35.7930145285	34.4853731217	33.2569509772	33.2195233541	35.8787956302	34.028856589	34.4611256728	40.1288612068	40.0665999455	34.864291719	37.3973087989	41.4466349856	39.3173697881	34.7920431559	33.9864049913	35.4485216092	39.5516056623	38.7590590215	0.0	32.4187833361	38.0292398319	36.5369206287	37.1133381407	41.3897500887	33.5315779677	36.0083602203	42.7568358765	47.7808718622	35.7385146457	38.7232319449
MCTs26	27.5233416723	29.8787080827	35.7551775727	39.1974627016	33.0632908937	29.291340211	30.9278303982	33.8198654515	30.1055669252	33.6213223272	30.8106964751	34.2827880988	36.7693065168	28.1741813269	34.4463830936	38.5687788042	39.1683380579	30.4945610945	34.0614748441	30.0914842161	33.3357063009	32.0958656133	32.4187833361	0.0	33.5895323899	29.9070717728	29.8740419259	39.5749921029	35.9350461028	28.6564356102	35.9838360967	40.6771319631	31.3016027139	34.7574425854
MCTs27	34.5209456593	36.0148945997	42.8279913374	43.862141498	38.7618736903	31.7242049907	36.6290563295	32.2238638661	33.4192708183	32.3832934239	34.6831835948	31.4817873647	38.7901648718	34.3583531457	37.6634055784	46.3849477262	39.2223758052	34.6611079051	38.0682963613	31.5188132535	33.6901352851	41.9755161465	38.0292398319	33.5895323899	0.0	33.178057629	38.7312724705	39.6489305107	37.2662502546	35.834567085	41.6580818476	49.635715337	39.0170371724	44.0389702337
MCTs28	28.0719963964	31.1482111121	37.4858811379	42.3905090149	31.0903508816	33.0165762106	37.0501267541	35.7408826153	30.9518182454	33.4350182399	34.4080620885	34.9399414479	37.8792240592	30.2079608426	33.1741189161	41.3880808943	40.6090125412	27.342020442	37.4013362097	31.8055459249	32.7192644859	31.9838829172	36.5369206287	29.9070717728	33.178057629	0.0	28.4089579749	40.2646031792	34.3135918921	30.3234213108	36.3525291873	39.5468171617	32.7513754795	36.6753896893
MCTs29	29.4228937253	33.2964661028	36.2192385967	44.316476628	33.4323532891	33.5622188471	37.1794461788	38.8395907155	35.3204629925	40.1953287237	37.0693703983	42.1244401569	44.0302814334	32.2457620042	33.9789585813	42.8709140797	40.5971501376	37.7086880717	37.4114935048	33.9561798221	38.8669326845	39.3544008306	37.1133381407	29.8740419259	38.7312724705	28.4089579749	0.0	39.5183125929	40.5505082506	37.7313877594	35.6041789237	38.4877541784	38.1071530765	42.1044994333
MCTs31	40.3067309418	40.8178816372	38.3456146683	42.0334453511	36.8557204834	38.6818925386	40.6337316683	41.6124354499	39.0831952051	37.7790199187	39.1941426866	37.4787425097	38.270779535	40.601149796	42.6245119582	46.0632777366	37.6768490429	41.2153966918	35.0283059327	37.8215940541	40.4059945509	41.4606065575	41.3897500887	39.5749921029	39.6489305107	40.2646031792	39.5183125929	0.0	35.9706598222	41.596496561	39.3087214697	40.4947923014	40.2444953187	46.3625888324
MCTs32	36.2215586509	38.2013399664	34.9809505032	41.6351204684	28.9672444788	37.0431993552	37.6998468896	30.8674353555	33.5714981665	29.9882955241	36.6441544923	34.8955386675	27.1706859182	37.242688462	39.7120264162	45.7159128462	37.8958226238	33.7964611094	38.1957358533	38.2952152109	36.63787844	35.5197969252	33.5315779677	35.9350461028	37.2662502546	34.3135918921	40.5505082506	35.9706598222	0.0	35.982289991	42.9157640764	41.6074727978	31.5190767365	42.449803628
MCTs33	30.2632951019	34.1641605054	38.5275649871	42.7602899756	35.8192634976	33.590903785	36.7822181302	37.0613666069	30.0147423158	31.0479785795	35.7157295917	33.7889684854	36.3575731326	30.5471768532	32.928931672	42.0383542178	41.9928156545	25.4098432944	35.1419628187	32.0609924795	34.5819429551	33.2793217942	36.0083602203	28.6564356102	35.834567085	30.3234213108	37.7313877594	41.596496561	35.982289991	0.0	35.7142796634	42.2760370282	31.5534205293	36.8157666595
MCTs34	37.0638126139	37.8753381815	38.9663346994	44.0753524806	38.6998537786	36.9605127309	43.0786245386	43.6012739391	36.6924382562	39.7488257436	39.9871786544	38.6213127825	43.9947585449	34.3111016917	38.7601676777	41.4054234475	40.9929591726	36.117211992	40.8950639284	33.924653294	39.9901936218	43.465271524	42.7568358765	35.9838360967	41.6580818476	36.3525291873	35.6041789237	39.3087214697	42.9157640764	35.7142796634	0.0	44.7136009731	40.1629258782	45.7559411462
MCTs35	42.8862976116	47.2079318381	40.1587666398	50.1771386053	38.1138357349	47.0189498573	47.5440474207	49.6818147635	42.44042875	44.7166374651	46.5730084007	46.1029307776	41.4260015986	42.8468360648	43.0308476203	47.4146194917	45.6009674123	44.7331938188	46.2834228974	42.9504596865	44.6230080878	37.1333160773	47.7808718622	40.6771319631	49.635715337	39.5468171617	38.4877541784	40.4947923014	41.6074727978	42.2760370282	44.7136009731	0.0	39.2069927842	45.6340597757
MCTs36	33.3547363352	36.851580917	35.0102518087	39.3155692873	35.4113544383	37.432124081	34.011180084	37.1503399707	33.4500074111	31.5698565597	35.741625828	33.7484473453	34.5042350055	33.452100723	36.890808596	39.4067643411	38.7400452398	30.2995645615	36.2606393667	34.7912587435	37.9005574174	35.5258598828	35.7385146457	31.3016027139	39.0170371724	32.7513754795	38.1071530765	40.2444953187	31.5190767365	31.5534205293	40.1629258782	39.2069927842	0.0	35.5164315958
MCTs37	38.2755987974	38.9477030086	36.9429612201	38.4688505913	39.3828994603	39.8569094871	38.2210806402	39.4423231874	41.0035548376	40.8312847572	38.7633862514	41.5362838539	45.9895990384	39.2751236636	41.3222662812	38.1372365379	44.8365296281	36.2957818054	40.3271342247	39.5983893386	41.567859838	35.7457881261	38.7232319449	34.7574425854	44.0389702337	36.6753896893	42.1044994333	46.3625888324	42.449803628	36.8157666595	45.7559411462	45.6340597757	35.5164315958	0.0
