	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs21	4.58221024259	5.951973359	5.42735010114	5.88069571519	5.3406833145	5.23308270677	5.3584962406	5.23225975386	4.58874122576	5.04473891912	4.88894041271	7.04239321709	4.84626615081	4.74674185464	5.36550801086	0.0	4.71439261661	5.90068788994	3.66522864538	5.34852618271	5.47757505652	5.01521920744	5.46766917293	5.20363408521	5.97032581454	5.23909774436	4.52914574259	5.63742690058	6.06697513013	5.78643329636	5.15424153604
MCTs22	3.90490029509	5.24150937208	4.39839295595	5.6823502541	5.53461189009	5.21422597475	4.69052132701	5.38869632878	4.01524982074	5.51108900003	5.85314320312	7.51880609055	4.49795242258	3.98214849921	4.60445150244	4.71439261661	0.0	4.15928204094	4.81583922513	3.57035607935	4.50051370431	3.98008104952	5.85050778605	4.50400586775	5.79753554502	3.84539785483	4.088420979	5.40217843186	6.03091505651	5.18944396965	5.69684311993
MCTs23	4.74656764352	4.52677611721	4.23307052597	5.63445270443	5.5402932422	5.76470588235	3.91489361702	5.57539959776	5.4184501845	5.74787821794	6.30008435655	7.56595744681	4.03701714522	4.32145390071	4.5530132561	5.90068788994	4.15928204094	0.0	5.1592605511	4.56222933534	4.19520904627	3.58507554733	5.15704154002	5.05916919959	5.31120567376	4.33505039194	4.3991834812	5.48776906806	6.69819967267	4.25048250203	6.49568457747
MCTs24	4.19929889679	5.16894510938	4.77357077474	6.00855882547	5.72626631558	5.287505166	5.18273224044	5.28978060517	5.08894400419	5.54979923316	5.62249344022	6.93198465295	4.96779670009	4.81284153005	4.77303807971	3.66522864538	4.81583922513	5.1592605511	0.0	5.20223415059	5.07226107226	4.71624297141	4.95956284153	5.37509758002	5.33027322404	5.10716134599	4.32706228702	4.69676924552	6.19831862127	5.45355191257	5.5728443086
MCTs25	4.92711638003	5.22916985639	4.61497686537	4.37242776415	5.72910266404	6.18353536105	5.45097345133	5.18892264342	4.06390621428	6.03916295898	6.84889477993	7.86612690642	4.21342039694	4.25899705015	5.47060186258	5.34852618271	3.57035607935	4.56222933534	5.20223415059	0.0	4.88916393341	4.2924201616	6.02579013906	5.30931310577	5.93073746313	4.25673032138	4.24030957124	5.98576825545	5.32961198094	4.81261182842	5.36638168092
MCTs26	4.97763557198	4.31112831805	4.27375670015	4.96452944646	5.38657197725	5.29823118058	4.40615384615	5.71067738232	5.15954893815	6.22114901673	5.4775884908	7.05579526856	4.10774662231	3.75268065268	5.45227547322	5.47757505652	4.50051370431	4.19520904627	5.07226107226	4.88916393341	0.0	4.3593121854	4.71954711955	4.92474192474	4.31403263403	4.85020242915	4.35919799757	4.73201652149	5.67552447552	4.03882456341	6.39224052783
MCTs27	4.41085589281	4.35661869181	4.03335049903	5.25714452011	4.98770994468	4.99167783055	4.44599033816	5.54690316533	4.35271048363	5.51455947901	6.25065440848	6.71641484222	4.290886919	3.93128019324	4.82186306498	5.01521920744	3.98008104952	3.58507554733	4.71624297141	4.2924201616	4.3593121854	0.0	5.81946169772	4.9108005521	4.87265700483	4.27958301551	4.0952279088	4.8588863463	6.8215533259	3.49916844856	6.00032751986
MCTs28	5.66253369272	4.93465150766	5.03582306019	5.11382673551	6.03138415988	5.80056022409	5.3319047619	5.18351101635	6.49804955192	6.38674033149	6.24636039438	5.90151975684	4.97873324087	4.60952380952	5.83664921466	5.46766917293	5.85050778605	5.15704154002	4.95956284153	6.02579013906	4.71954711955	5.81946169772	0.0	6.00952380952	4.72380952381	5.77293233083	5.69151291513	6.03408521303	6.52380952381	5.18594847775	5.61065375303
MCTs29	5.59613656783	5.42292799473	4.90101522843	6.20926563396	6.26449543548	6.41736694678	4.7080952381	6.35252309879	5.26014760148	5.11325966851	5.85609397944	6.83763931104	4.80755894591	5.37142857143	5.48229867863	5.20363408521	4.50400586775	5.05916919959	5.37509758002	5.30931310577	4.92474192474	4.9108005521	6.00952380952	0.0	6.33333333333	4.3373433584	4.79076612195	5.34398496241	5.34688644689	5.13778298205	6.59301856336
MCTs31	6.04817610063	4.88876585928	5.01495769882	5.42939759036	5.61671848014	5.24593837535	5.65333333333	5.78308457711	6.14740467405	6.83241252302	6.62719530103	7.06836879433	5.49618122977	4.86333333333	5.73389179756	5.97032581454	5.79753554502	5.31120567376	5.33027322404	5.93073746313	4.31403263403	4.87265700483	4.72380952381	6.33333333333	0.0	6.21403508772	5.28403444034	5.67625730994	6.60307692308	4.88524590164	6.18395480226
MCTs32	4.25749751738	5.11990529958	4.21068661501	5.63398858592	5.57392964276	5.45731977001	4.61263157895	5.3678449856	4.58395805011	5.49712125618	6.12024113146	7.57961926092	4.10996423097	4.59122807018	4.55497382199	5.23909774436	3.84539785483	4.33505039194	5.10716134599	4.25673032138	4.85020242915	4.27958301551	5.77293233083	4.3373433584	6.21403508772	0.0	4.33618178287	5.46549707602	5.85506072874	4.52953695715	6.09069283378
MCTs33	5.00487363364	4.8962576131	3.84351995804	5.3613124083	4.47832820297	5.82374647276	4.57726937269	4.93154155422	4.13284132841	5.03712462539	5.43495293984	7.11549030384	4.18048937771	4.78437884379	4.83217093951	4.52914574259	4.088420979	4.3991834812	4.32706228702	4.24030957124	4.35919799757	4.0952279088	5.69151291513	4.79076612195	5.28403444034	4.33618178287	0.0	4.01739280551	5.19920522282	4.79539451132	5.71071778514
MCTs34	6.045183714	5.46170501224	5.33974530234	6.94786162193	5.24067509014	5.92323947123	4.75801169591	6.02443920747	5.74079109212	6.47106717069	5.45961820852	6.63008585293	5.4641458014	5.3283625731	5.2890603472	5.63742690058	5.40217843186	5.48776906806	4.69676924552	5.98576825545	4.73201652149	4.8588863463	6.03408521303	5.34398496241	5.67625730994	5.46549707602	4.01739280551	0.0	6.66432748538	5.76646534369	6.55724055902
MCTs35	6.24571843251	6.67048176737	5.72932448262	5.80834105653	6.51359107214	7.31648351648	6.11846153846	6.06092613854	5.95776326994	6.49341266468	7.03131141986	8.43306055646	5.27662434653	6.23974358974	6.51365283931	6.06697513013	6.03091505651	6.69819967267	6.19831862127	5.32961198094	5.67552447552	6.8215533259	6.52380952381	5.34688644689	6.60307692308	5.85506072874	5.19920522282	6.66432748538	0.0	6.44724674233	6.03215993047
MCTs36	5.13630271162	3.72946092613	4.25070039666	5.05892422148	5.59109827572	5.61004729761	5.09808743169	5.44311230732	4.83487588974	5.60323642182	6.64124599793	6.2469480293	3.80089129397	4.00669398907	4.51137241439	5.78643329636	5.18944396965	4.25048250203	5.45355191257	4.81261182842	4.03882456341	3.49916844856	5.18594847775	5.13778298205	4.88524590164	4.52953695715	4.79539451132	5.76646534369	6.44724674233	0.0	6.13559322034
MCTs37	5.31270653448	6.26387504154	6.02185322206	5.99305697366	4.51181171511	5.44433366567	6.75480225989	4.32616578126	4.98509391874	4.7805350064	5.68416336892	6.74960932804	5.95617355055	5.62274011299	5.08155115804	5.15424153604	5.69684311993	6.49568457747	5.5728443086	5.36638168092	6.39224052783	6.00032751986	5.61065375303	6.59301856336	6.18395480226	6.09069283378	5.71071778514	6.55724055902	6.03215993047	6.13559322034	0.0
