#taxonomy	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium	3	223	2	52	11	20	0	174	32	3	0	5	168	4	4	0	0	44	1	151	30	12	1	99	240	50	177	642	42	17	6	3	2	3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	349	55	27	3	93	47	8	27	36	70	31	67	49	58	90	7	4	28	56	21	36	68	156	55	95	52	159	12	255	21	55	68	20	7
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter	69	46	4	2	35	71	0	1	112	53	2	48	36	175	7	2	121	38	54	161	236	55	54	62	107	87	70	1	48	77	1	24	21	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Fusicatenibacter	28	66	111	24	44	21	27	6	23	103	107	3	80	7	53	10	210	17	39	62	19	28	36	51	1	81	149	11	105	39	119	37	78	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	3	0	2	0	2	13	0	9	93	0	0	4	20	3	67	0	0	112	2	175	87	0	0	6	192	29	280	0	0	43	389	100	0	12
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;NA;NA	71	251	0	0	242	33	22	56	9	25	199	0	8	74	15	80	1	1	0	11	53	16	71	41	46	70	207	0	11	2	0	4	1	1
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;NA	1	0	0	0	0	2	0	0	1	1	2	1	1	4	809	0	0	22	0	2	682	6	0	1	1	3	1	0	0	3	4	0	18	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	78	61	51	54	83	18	24	61	15	33	101	30	2	10	18	0	11	10	32	31	6	35	43	41	85	74	187	6	104	18	0	53	25	36
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	76	36	113	41	52	21	42	32	41	30	6	55	70	42	74	23	65	18	52	15	27	14	44	61	46	41	38	69	31	14	51	69	22	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;NA	25	60	15	48	124	40	9	30	35	15	36	58	28	33	56	19	35	25	16	28	25	6	15	22	47	109	126	29	48	19	22	24	17	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter	40	23	17	71	24	46	40	132	18	17	10	57	18	8	82	99	53	10	7	22	5	3	30	15	148	31	15	19	62	5	28	3	33	16
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger	69	4	55	1	40	20	6	6	28	74	3	4	30	63	6	1	114	40	16	12	8	6	23	50	2	5	90	91	89	11	193	30	13	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	6	3	10	7	415	9	10	1	11	16	24	2	27	20	19	64	14	7	14	4	15	15	11	10	4	32	49	13	30	9	20	34	24	6
k__Bacteria;p__Firmicutes;NA;NA;NA;NA	25	27	24	16	59	28	9	20	24	21	13	24	40	27	40	14	25	30	24	24	16	10	15	16	24	67	69	35	53	12	28	23	15	2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium	15	27	43	11	29	19	10	17	10	8	18	11	47	15	72	3	62	47	8	20	12	14	14	12	11	38	48	22	19	15	55	23	8	5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	9	13	10	8	19	61	2	1	23	6	13	10	34	25	35	46	6	27	5	3	4	5	0	5	0	18	71	10	17	19	55	29	8	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	2	7	12	11	24	61	1	4	19	14	16	72	1	0	11	1	46	1	3	4	19	18	0	0	12	35	88	21	0	0	9	1	3	78
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	17	17	20	13	27	11	8	10	8	8	10	30	13	9	12	37	19	8	7	14	5	4	9	11	40	23	21	22	18	9	17	7	6	20
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	16	0	25	0	8	10	8	4	6	7	0	0	18	0	63	0	32	15	3	5	1	12	33	6	6	35	93	4	27	8	0	18	23	5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Flavonifractor	3	10	11	58	5	3	22	4	2	7	15	19	4	2	5	95	39	2	3	5	2	2	4	3	36	7	6	7	20	1	11	1	5	16
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA	4	4	4	2	150	6	3	4	13	1	2	6	10	6	1	3	13	5	10	2	1	11	7	10	4	3	10	34	22	7	0	53	7	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Intestinimonas	4	15	11	1	28	10	3	9	10	11	15	23	17	6	10	1	6	7	4	9	11	3	5	12	59	22	25	8	24	2	5	4	2	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister	0	0	0	0	0	0	0	0	2	9	0	0	0	0	15	20	7	0	5	3	0	0	20	0	0	0	5	17	0	0	10	251	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas	1	68	0	0	15	5	1	23	0	23	0	28	27	5	14	0	0	31	8	0	0	25	2	0	0	11	0	0	4	63	0	0	4	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	9	30	64	0	1	1	17	0	0	1	0	14	14	1	27	0	0	9	6	26	1	3	0	1	0	0	1	58	0	8	19	4	0	12
k__Bacteria;NA;NA;NA;NA;NA	7	4	27	4	11	8	2	7	9	3	4	6	14	9	5	6	10	11	5	6	5	17	3	3	7	9	10	27	25	4	7	45	4	3
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Dakarella	0	0	0	227	0	17	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	29	0	21	0	0	0	0	0	0	0	0	0	21
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	10	18	0	0	39	6	4	10	2	6	41	0	2	11	2	22	0	0	0	3	9	3	9	10	9	17	45	0	2	0	0	1	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellamassilia	0	0	1	6	42	0	0	1	0	8	13	1	6	2	0	0	0	0	0	0	2	44	1	7	4	3	5	13	8	3	0	48	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	0	0	0	0	130	0	0	24	0	0	0	6	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum	4	5	3	4	13	3	1	3	8	3	3	7	7	5	8	3	7	6	6	5	4	1	2	3	5	12	22	5	7	19	6	3	3	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	12	2	12	3	1	2	2	1	1	0	2	0	1	3	7	6	1	3	1	1	0	1	5	2	2	1	60	2	4	0	2	44	2	4
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;NA	0	1	8	7	3	39	0	1	3	10	8	13	0	2	2	0	8	1	1	2	5	3	0	0	3	5	16	2	0	0	1	7	3	15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Pseudoflavonifractor	10	3	4	1	12	4	1	2	7	3	1	3	9	4	7	3	7	8	4	6	7	1	1	2	12	7	14	7	7	2	5	1	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	9	4	5	7	16	6	1	3	4	2	4	3	2	4	5	5	6	1	2	8	1	1	2	4	16	10	11	3	9	2	5	1	1	2
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Mediterranea	2	1	2	2	4	7	1	2	1	0	2	1	43	8	1	0	6	3	22	0	1	1	1	0	1	0	13	3	2	9	0	4	1	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia	2	3	7	0	6	3	1	6	1	5	4	5	6	4	10	0	2	4	3	2	3	0	0	2	2	13	14	5	14	3	13	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hungatella	1	2	2	2	40	2	1	1	2	1	2	1	1	1	2	8	3	1	1	4	0	0	1	1	5	12	19	2	5	1	4	1	1	3
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella	1	5	10	11	1	1	1	4	0	4	1	3	0	4	7	17	5	0	1	1	0	3	1	0	2	19	3	2	4	1	7	0	4	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	2	0	21	0	1	3	2	1	4	1	2	0	0	3	2	1	1	0	2	1	1	1	0	0	0	1	40	0	1	0	1	27	4	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	2	1	3	1	10	5	0	5	3	2	6	2	2	2	4	2	27	2	1	1	2	1	1	1	2	6	9	3	2	1	4	1	1	1
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella	2	2	1	1	9	5	1	3	11	3	1	3	3	3	3	1	2	5	1	3	4	1	1	1	2	4	12	1	4	2	2	2	2	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	2	3	2	2	10	3	1	1	2	2	3	1	3	5	2	3	3	2	3	2	1	2	2	1	2	3	8	4	4	2	4	2	4	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruthenibacterium	1	5	1	4	7	3	1	2	2	1	3	2	2	1	5	3	5	1	1	2	2	1	1	1	6	12	8	1	3	1	2	1	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	2	3	7	0	3	1	1	1	1	7	10	3	3	2	3	0	3	1	1	1	1	1	1	1	7	3	3	5	2	0	5	1	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	1	2	3	1	10	1	1	0	1	0	0	2	2	3	5	6	3	1	1	1	1	2	2	1	1	1	6	2	7	2	3	3	3	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio	1	1	3	0	2	3	1	0	0	0	0	0	2	1	1	0	1	0	1	0	50	0	0	0	0	0	3	3	1	0	1	1	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas	0	0	2	0	14	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	11	10	0	0	24	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Butyricicoccus	1	1	0	0	2	1	0	3	1	0	0	7	4	0	1	0	0	7	1	1	1	1	0	2	0	1	3	1	26	0	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaeromassilibacillus	1	1	1	0	2	1	1	1	1	1	0	2	5	1	1	0	2	2	1	4	1	1	1	1	11	4	5	2	7	1	2	0	2	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridioides	2	2	2	1	3	2	1	1	1	1	2	1	2	2	2	4	4	1	1	1	1	1	2	1	3	9	4	2	2	1	3	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Negativibacillus	0	1	0	0	1	0	0	0	1	1	0	1	1	1	16	0	0	2	0	4	1	0	0	2	14	6	2	0	1	0	4	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella	0	0	0	2	0	1	2	10	3	0	0	0	4	0	3	0	0	3	8	0	5	1	0	3	1	1	4	0	1	6	0	0	1	0
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA	1	3	1	4	1	2	1	1	1	2	2	1	2	1	1	2	2	2	1	1	3	2	1	1	1	2	5	1	2	1	1	2	1	2
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;NA	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	5	0	0	0	0	0	11	10	0	0	25	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Provencibacterium	0	0	0	0	11	1	0	11	11	0	0	10	1	0	1	0	0	0	0	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	0	0	0	25	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	6	1	2	0	4	1	0	1	0	0	0	0	1	3	0	6	9	0	2	1	0	0	0	1	0	5	4	1	2	0	1	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella	1	6	1	0	2	2	0	0	1	2	3	2	1	0	2	0	2	4	0	1	0	1	0	1	1	9	2	1	2	0	3	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter	2	1	1	3	1	1	0	1	1	0	1	1	0	4	0	0	1	0	0	1	1	2	0	1	0	15	1	0	3	1	6	1	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus	11	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	17	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Neglecta	1	1	3	1	1	0	0	1	1	1	0	5	0	0	4	0	0	1	0	1	2	0	0	0	2	5	7	0	5	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XIII. Incertae Sedis;g__Emergencia	0	1	1	0	2	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	12	3	2	6	1	0	2	1	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea	1	1	1	0	2	1	0	1	2	0	0	0	5	2	0	0	1	1	1	0	1	0	0	1	2	4	5	3	3	1	2	0	1	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;NA	1	1	0	0	2	2	0	1	2	1	0	3	2	1	2	0	1	1	2	1	1	1	1	1	1	2	2	1	2	1	2	1	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Fournierella	1	1	1	1	3	1	0	2	1	1	0	1	2	1	2	0	1	2	1	1	1	0	0	1	0	2	3	1	3	0	1	0	1	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Phocea	1	2	1	0	4	1	0	1	1	2	2	1	1	0	2	0	0	1	1	0	0	0	2	1	4	1	1	1	1	0	1	0	1	0
