#FoodID	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37	taxonomy
Lentil soup home recipe canned or ready to serve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22178823529412	0	0	0	2.22178823529412	0	0	4.44357647058824	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soups_with_legumes_as_major_ingredient;L4_;L5_;Lentil_soup_home_recipe_canned_or_ready_to_serve
Soybean soup miso broth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.04752941176471	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soups_with_legumes_as_major_ingredient;L4_;L5_;Soybean_soup_miso_broth
Split pea soup	0	3.62109375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soups_with_legumes_as_major_ingredient;L4_;L5_;Split_pea_soup
Hoisin sauce	0.861613705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Hoisin_sauce
Soy sauce	0	0.1917353125	0	0	0	0.450925529411765	0	0	0.270468764705882	0.271529411764706	0	0	0.811839058823529	0	0.540937470588235	0	0	0.045006	0.270468764705882	0	0	0	0.495931529411765	0	0	0	0	0.180456764705882	0.991863	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Soy_sauce
Soy sauce reduced sodium	0	0	0	0	0	0	0	0	0	0.233062470588235	0	0	0	0.854686764705882	0	0	0	0	0	0	0	0	0	0	0	0.701929411764706	0.93225	0.233062470588235	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Soy_sauce_reduced_sodium
Soybean curd	0	0	0	0	0	3.71708235294118	0	0	0	0	0	0	2.32317647058824	0	0.449647058823529	0	0	0	0	0.929270588235294	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Soybean_curd
Teriyaki sauce	0	0	0	0	0.456506117647059	0	0	0	0.113852823529412	0	0	0	0	0.570358941176471	0.113852823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Teriyaki_sauce
Soybean curd deep fried	0	0	0	0	0	6.60121411764706	1.65030352941176	0	0	0	0	0	0	0	1.65030352941176	0	0	0	0	5.77606235294118	0	0	0	7.89051375	0	3.30060705882353	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Soybean_curd_fried;Soybean_curd_deep_fried
Textured vegetable protein dry	0	0	0	0	0	0	1.159375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Textured_vegetable_protein;L5_;Textured_vegetable_protein_dry
Coconut milk liquid expressed from grated coconut meat water added 	0	1.21425	0	0	0	12.5710588235294	0	0	0	0	0	0	0	0	0	0	0	0	0.571411764705882	0	0	0	0	0	0	0	0	4.57129411764706	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Coconut_beverages;L4_;L5_;Coconut_milk_liquid_expressed_from_grated_coconut_meat_water_added_
Coconut water canned or bottled	0	0	1.24771764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Coconut_beverages;L4_;L5_;Coconut_water_canned_or_bottled
Almond butter	0	0	4.16583529411765	0	0	2.77722352941176	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70296470588235	0	1.38861176470588	0	0	0	19.1319225882353	0	0	10.6460235294118	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Almond_butter;Almond_butter
Peanut butter	12.0138352941176	0	0	2.24434285714286	8.77934117647059	16.1724705882353	0	0	6.46898823529412	0	2.31035294117647	0	0.924141176470588	0	0	0	0	12.4759058823529	1.38621176470588	3.23449411764706	3.23449411764706	0	8.00916194117647	0	0.924141176470588	0	3.69656470588235	5.08277647058824	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Peanut_butter;Peanut_butter
Peanut butter low sodium	0	0	0	0	0	6.93105882352941	0	5.54484705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Peanut_butter;Peanut_butter_low_sodium
Peanut butter reduced fat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.6859781176471	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Peanut_butter;Peanut_butter_reduced_fat
Peanut butter reduced sodium and reduced sugar	0	0	6.51576470588235	0	0	0	0	4.65411764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.930823529411765	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Peanut_butter;Peanut_butter_reduced_sodium_and_reduced_sugar
Peanut sauce	0.811191176470588	0	0	0	0	0	0	0	0	0	0	0	0	1.62238235294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Peanut_sauce_or_gravy;Peanut_sauce
Nut mixture with dried fruit and seeds	0	0	0	0	0	0	0	0	0	0	30.0257794117647	0	0	18.4028970588235	0	0	3.87429411764706	0	0	0	0	0	5.81144117647059	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_mixtures;L4_;L5_;Nut_mixture_with_dried_fruit_and_seeds
Nut mixture with dried fruit seeds and chocolate	0	0	0	18.68	0	0	0	3.84588235294118	0	0	2.88441176470588	0	0	0	0	0	12.4991176470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_mixtures;L4_;L5_;Nut_mixture_with_dried_fruit_seeds_and_chocolate
Mixed nuts dry roasted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.618984125	0	0	0	0	0	5.93834558823529	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Mixed_nuts_NFS;Mixed_nuts_dry_roasted
Mixed nuts honey roasted with peanuts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.08857352941177	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Mixed_nuts_NFS;Mixed_nuts_honey_roasted_with_peanuts
Mixed nuts NFS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510103647058823	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Mixed_nuts_NFS;Mixed_nuts_NFS
Mixed nuts roasted with peanuts	0	0	0	0	0	18.4032	0	0	0	0	0	0	0	0	0	0	0	3.0672	0	4.0896	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Mixed_nuts_NFS;Mixed_nuts_roasted_with_peanuts
Peanuts boiled	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385279411764706	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Peanuts;Peanuts_boiled
Peanuts dry roasted salted	0	0	0	0	6.34133823529412	0	0	0	0	0	0.528444823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Peanuts;Peanuts_dry_roasted_salted
Peanuts dry roasted without salt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05688964705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Peanuts;Peanuts_dry_roasted_without_salt
Peanuts honey roasted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6194	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Peanuts;Peanuts_honey_roasted
Peanuts NFS	0.260655882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Peanuts;Peanuts_NFS
Peanuts roasted salted	0	0	0	0	0	0	2.08694117647059	0	0	0	0	0	0	1.04347058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08694117647059	0.260867647058824	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Peanuts;Peanuts_roasted_salted
Peanuts roasted without salt	0	0	0	0	0	0	30.6809338235294	0	0	0	0	0	0	0	2.11592647058824	0	0	0	0	0	0.762081352941176	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Peanuts;Peanuts_roasted_without_salt
Pecans	0	0	0	0	0	0	0	0	0	0	0	1.40463529411765	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40463529411765	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Pecans;Pecans
Pine nuts Pignolias 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45502205882353	0	0	0	0	0	0	0.485007352941176	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Pine_nuts;Pine_nuts_Pignolias_
Pistachio nuts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69694117647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415905882352941	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Pistachio_nuts;Pistachio_nuts
Walnuts	0	1.7986875	7.61797058823529	0	0	1.69288235294118	0	0	0	0	3.27290588235294	5.64294117647059	0	0	0	0	1.26966176470588	0.423220588235294	0	0.423220588235294	0.635169470588235	0	1.12858823529412	0	0	0.846441176470588	0	0	0	0	0	6.79974411764706	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Walnuts;Walnuts
Almonds NFS	0	0.806691125	3.28868535294118	0	0	0	0	0	0	0	0	0	0	0	2.78279605882353	0	0	1.517668	0	0	0	0	0	0	0	0.759238705882353	0.0369432941176471	0	0	0	0	1.517668	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Nuts_NFS;L5_Almonds_NFS;Almonds_NFS
Nuts nfs	0	0	3.07753676470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0899609375	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Nuts_NFS;L5_Almonds_NFS;Nuts_nfs
